score,winning score,losing score,total times scored
20,1095,983,2078
27,1263,388,1651
17,927,1536,2463
23,843,395,1238
24,1295,803,2098
13,493,1136,1629
16,485,597,1082
21,714,920,1634
31,1051,241,1292
7,214,1656,1870
30,700,111,811
14,471,1522,1993
10,315,1631,1946
28,779,361,1140
6,131,745,876
34,803,100,903
0,73,1460,1533
3,74,858,932
38,590,44,634
19,374,260,634
26,491,122,613
35,497,80,577
9,121,364,485
41,344,15,359
37,394,24,418
33,312,53,365
42,260,8,268
45,246,5,251
15,94,146,240
12,108,216,324
22,204,161,365
44,132,2,134
29,219,55,274
40,136,7,143
25,145,76,221
48,116,3,119
18,67,84,151
36,126,19,145
49,87,2,89
32,106,37,143
52,51,0,51
43,70,2,72
47,53,1,54
55,27,0,27
51,49,1,50
2,5,32,37
39,53,7,60
8,8,39,47
56,33,0,33
59,14,0,14
62,9,0,9
57,7,0,7
50,17,0,17
5,4,17,21
11,11,46,57
46,20,1,21
53,9,0,9
61,5,0,5
58,8,0,8
60,2,0,2
54,12,0,12
73,1,0,1
66,2,0,2
63,3,0,3
65,2,0,2
64,1,0,1
70,1,0,1
72,1,0,1
4,0,1,1
